"player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","sacks","sacks_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","fg_miss","fg_miss_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","idp_solo","idp_solo_sd","idp_sack","idp_sack_sd","idp_int","idp_int_sd","idp_pd","idp_pd_sd","idp_td","idp_td_sd","birthdate","draft_year","injury_status","injury_details","season_year","week"
"Brock Purdy","SF","QB","15698","average",263.231428571429,17.5041999041863,1.81285714285714,0.158610033910667,0.891428571428571,0.0949435922760758,15.8857142857143,1.09646184221275,0.17,0.0776745346515403,0.16,0.0346410161513775,NA,NA,NA,NA,2.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-12-27,2022,"Q","Toe",2025,4
"Geno Smith","LVR","QB","11150","average",257.564285714286,24.438421837442,1.68571428571429,0.267821902443716,0.874285714285714,0.091625531896072,13.2671428571429,2.73687604326365,0.0771428571428572,0.0607492896293956,0.125,0.067700320038633,NA,NA,NA,NA,2.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-10-10,2013,NA,NA,NA,NA
"Justin Herbert","LAC","QB","14779","average",251.905714285714,9.91810105672595,1.81857142857143,0.243613667612511,0.594285714285714,0.211884964297229,20.9071428571429,1.84378880104451,0.107142857142857,0.0767494377209123,0.17,0.0336650164612069,NA,NA,NA,NA,2.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2020,NA,NA,NA,NA
"Jordan Love","GB","QB","14782","average",259.231428571429,10.4647191849112,1.97,0.2151743479135,0.748571428571429,0.116537343289404,11.7842857142857,1.31635680500966,0.0928571428571429,0.0449867705421219,0.1225,0.0659229348052204,NA,NA,NA,NA,2.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2020,NA,NA,NA,NA
"Tua Tagovailoa","MIA","QB","14778","average",246.385714285714,17.9978164019443,1.79571428571429,0.20606286604312,0.837142857142857,0.100285307284481,6.52714285714286,2.22721585756533,0.0442857142857143,0.0461364436055861,0.2875,0.0176776695296637,NA,NA,NA,NA,2.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2020,NA,NA,NA,NA
"Jared Goff","DET","QB","12611","average",255.274285714286,15.0151832679934,2.05,0.289194283023253,0.69,0.145028732785381,5.76571428571429,3.33852191417528,0.05,0.0479583152331272,0.1525,0.0429631625155008,NA,NA,NA,NA,2.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-10-14,2016,NA,NA,NA,NA
"Matthew Stafford","LAR","QB","9431","average",254.872857142857,9.98728310450463,1.79714285714286,0.206293826512436,0.725714285714286,0.207674195384432,5.34285714285714,2.87439683113817,0.0457142857142857,0.0461364436055861,0.135,0.0334165627596057,NA,NA,NA,NA,1.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-02-07,2009,NA,NA,NA,NA
"Patrick Mahomes","KC","QB","13116","average",246.402857142857,14.9875300547774,1.79857142857143,0.227334450492996,0.744285714285714,0.112820970695042,25.1542857142857,6.09221321891822,0.18,0.113137084989848,0.1325,0.0333541601603158,NA,NA,NA,NA,2.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA
"Lamar Jackson","BAL","QB","13593","average",232.767142857143,13.0369944315983,1.99142857142857,0.169551228387231,0.42,0.206881608655772,51.5742857142857,5.73725793140143,0.211428571428571,0.107614833461528,0.2475,0.0388908729652601,NA,NA,NA,NA,2.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-01-07,2018,NA,NA,NA,NA
"Baker Mayfield","TB","QB","13590","average",228.915714285714,14.7979433899251,1.85142857142857,0.189949868073006,0.818571428571429,0.163546993392172,20.3871428571429,3.76286554939944,0.0857142857142857,0.0377964473009227,0.215,0.0615088069574864,NA,NA,NA,NA,2.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-04-14,2018,NA,NA,NA,NA
