"field","data_type","description"
"def_qb_hits","numeric","Number of QB hits by this team (should not include plays where the QB was sacked)"
"def_interceptions","numeric","Number of interceptions forced by this team"
"def_interception_yards","numeric","yards gained/lost on interception returns by this team"
"def_pass_defended","numeric","Number of passes defended/broken up by this team"
"def_tds","numeric","Number of defensive touchdowns scored by this team"
"def_fumbles","numeric","Number of fumbles forced by this team"
"def_safeties","numeric","Number of safeties forced by this team"
"misc_yards","numeric","Miscellaneous yards attributed to this team"
"fumble_recovery_own","numeric","Number of the player's own team fumbles recovered"
"fumble_recovery_yards_own","numeric","Yards gained/lost on own fumble recoveries"
"fumble_recovery_opp","numeric","Number of the opponent's fumbles recovered"
"fumble_recovery_yards_opp","numeric","Yardage on opponent fumble recoveries"
"fumble_recovery_tds","numeric","Fumbles recovered and advanced for a touchdown"
"penalties","numeric","Number of penalties attributed to this team"
"penalty_yards","numeric","Penalty yardage on penalties attributed to this team"
"timeouts","numeric","Number of timeouts used by this team"
"punt_returns","numeric","Count of punt returns by this team"
"punt_return_yards","numeric","Yards gained on punts returned by this team"
"kickoff_returns","numeric","Count of kick returns by this team"
"kickoff_return_yards","numeric","Yards gained on kick returns by this team"
"fg_made","numeric","Count of field goals made by this team"
"fg_att","numeric","Count of field goals attempted by this team"
"fg_missed","numeric","Count of field goals missed by this team"
"fg_blocked","numeric","Count of field goals attempted by this team that were blocked"
"fg_long","numeric","Longest successful field goal made by this team"
"fg_pct","numeric","Percentage of field goals successfully made"
"fg_made_0_19","numeric","Count of field goals within 0-19 yards made by this team"
"fg_made_20_29","numeric","Count of field goals within 20-29 yards made by this team"
"fg_made_30_39","numeric","Count of field goals within 30-39 yards made by this team"
"fg_made_40_49","numeric","Count of field goals within 40-49 yards made by this team"
"fg_made_50_59","numeric","Count of field goals within 50-59 yards made by this team"
"fg_made_60_","numeric","Count of field goals over 60 yards made by this team"
"fg_missed_0_19","numeric","Count of field goals missed between 0-19 yards by this team"
"fg_missed_20_29","numeric","Count of field goals missed between 20-29 yards by this team"
"fg_missed_30_39","numeric","Count of field goals missed between 30-39 yards by this team"
"fg_missed_40_49","numeric","Count of field goals missed between 40-49 yards by this team"
"fg_missed_50_59","numeric","Count of field goals missed between 50-59 yards by this team"
"fg_missed_60_","numeric","Count of field goals missed over 60 yards by this team"
"fg_made_list","character","Comma-separated string listing lengths of field goals made"
"fg_missed_list","character","Comma-separated string listing lengths of field goals missed"
"fg_blocked_list","character","Comma-separated string listing lengths of field goals blocked"
"fg_made_distance","numeric","Total distance on field goals made"
"fg_missed_distance","numeric","Total distance on field goals missed"
"fg_blocked_distance","numeric","Total distance on field goals blocked"
"pat_made","numeric","Count of extra point kicks made"
"pat_att","numeric","Count of extra point kicks attempted"
"pat_missed","numeric","Count of extra point kicks missed"
"pat_blocked","numeric","Count of extra point kicks blocked"
"pat_pct","numeric","Percentage of extra point kicks successfully completed"
"gwfg_made","numeric","Count of game winning field goals made"
"gwfg_att","numeric","Count of game winning field goals attempted"
"gwfg_missed","numeric","Count of game winning field goals missed"
"gwfg_blocked","numeric","Count of game winning field goals blocked"
"gwfg_distance","numeric","Total distance on game winning field goals completed"
